rank,name,nss,research,ratio,spends,entry,completion,honours,prospects
25,Aberdeen     ,20,42.857,45,66.629,36.364,21.2,30.3,23.8
99,Abertay     ,31,90,67.667,52.257,52,36,52.4,48.6
42,Aberystwyth     ,19,42.857,63.333,71.514,46.182,10.2,38.2,43.8
105,Anglia Ruskin    ,30,92.857,57,81.514,53.455,35.2,47.7,39.4
27,Aston     ,24,44.286,58,54.086,36.182,11.6,34.2,23.6
70,B'ham City    ,29,88.571,52.667,67.486,51.273,22.7,43.4,36.2
50,Bangor     ,23,44.286,61.333,70.771,49.273,23,44.4,34.1
14,Bath     ,25,25.714,55.333,63.114,22.182,4.7,22.7,19
71,Bath Spa    ,28,78.571,65,83.914,50.182,14.3,35.3,44.8
88,Bedfordshire     ,27,91.429,70.667,51.857,60,24.6,53,40.4
24,Birmingham     ,23,38.571,51,61.657,26.909,7.6,31.6,29.6
110,Bolton     ,26,88.571,70,77.943,63.091,36.7,47.4,48.2
56,Bournemouth     ,28,90,65,72.371,47.818,14.8,43,29.2
48,Bradford     ,24,51.429,50,66.657,49.091,17.8,39.5,26.1
59,Brighton     ,27,75.714,65.333,76.971,47.636,17,41.2,32.3
9,Bristol     ,25,25.714,49,56.143,21.818,4.2,21.6,18.5
51,Brunel     ,31,55.714,54.333,57.857,43.091,14.6,36.3,36.4
107,Bucks New    ,32,88.571,62.333,71.457,63.091,18,55.3,54.8
1,Cambridge     ,29,7.143,40.667,34.314,5.818,2.1,14.6,11.6
79,Canterbury CC,26,84.286,59.333,84.029,55.091,16.5,53,36.8
28,Cardiff     ,23,35.714,47.667,69,30.727,9.9,32.4,26.5
62,Central Lancs,25,87.143,58.333,71.886,50.727,23.1,49.1,35.6
86,Chester     ,26,92.857,59.667,79.029,50.182,23.9,45.7,42.4
58,Chichester     ,22,75.714,65.333,79.057,54,12,53.3,44.5
49,City     ,28,47.143,60.333,74.914,41.636,15,36.3,22.9
73,Coventry     ,24,85.714,67.333,71.314,52.545,26.3,39.6,38
98,Cumbria     ,32,91.429,68,80.429,51.455,23.4,52.5,27.2
77,De Montfort    ,28,80,58,76.257,54.545,19.4,51,35.2
94,Derby     ,27,87.143,66,69.886,51.455,23,52.2,50.5
43,Dundee     ,22,40,45.667,72.257,32.182,31.3,33.7,26.1
7,Durham     ,22,25.714,51.333,60.714,18.727,3.6,21.2,24.1
22,East Anglia    ,18,28.571,59.667,67.8,34.727,8.8,32.5,37
108,East London    ,30,80,68.667,65.2,66,31.5,59.4,40.6
97,Edge Hill    ,24,94.286,73.667,82.943,54.545,21.7,55.6,43
17,Edinburgh     ,27,28.571,44.333,63.029,21.818,7.8,20.1,25.1
41,Essex     ,25,31.429,47,67.171,43.818,16.6,39.6,37.2
12,Exeter     ,19,32.857,56,66.2,30.727,5.2,20.2,31.5
76,Glamorgan     ,25,81.429,53,67.914,56.909,30.7,48.2,41.6
20,Glasgow     ,22,38.571,44.667,60.771,28,14.5,31.6,25
67,Glasgow Cal,26,82.857,66,75.714,43.455,25.2,34.3,39.5
57,Gloucestershire     ,27,75.714,57.333,69.314,53.091,19.5,45.1,39.8
45,Goldsmiths,27,30,51.667,77.343,44.182,17.8,35.2,36.4
109,Greenwich     ,32,82.857,78,76.457,61.455,20.3,57.6,37
46,Heriot-Watt     ,25,40,55.333,68.143,37.636,17.7,45,27.9
78,Hertfordshire     ,28,80,52,68.943,53.455,24.1,52.3,37.9
89,Huddersfield     ,25,87.143,66,82.4,52.364,21.1,46.7,46.8
44,Hull     ,20,54.286,62,73.314,46,16.1,43.6,29
2,Imperial,24,17.143,34.667,8.057,14,4,30.9,10.7
40,Keele     ,25,42.857,51,70.057,43.091,15.7,36,22.4
35,Kent     ,21,42.857,54.333,67.343,44.182,13,40.3,29.5
10,King's,23,32.857,39.667,51.543,26.182,6.8,27.9,19.6
92,Kingston     ,29,82.857,66,72.4,57.091,21.4,50,39.8
69,Lampeter     ,26,37.143,83.333,86.286,50.182,23.1,43.9,41.2
18,Lancaster     ,22,22.857,42.333,64.943,31.818,7.5,31.2,39.1
30,Leeds     ,25,35.714,48.667,71.029,30,7.9,28.2,32.7
100,Leeds Met,32,88.571,78.667,71.886,52,17.3,46.4,40.6
13,Leicester     ,17,35.714,48.333,62.029,34.545,7.1,31,27.7
103,Lincoln     ,30,90,79,75.943,52.545,16.1,47.1,49.7
33,Liverpool     ,25,34.286,44.333,71.057,31.455,10,32.4,29.3
93,Liverpool JM,29,82.857,65,74.229,54.545,22.9,54.9,38.7
112,London S Bank   ,28,81.429,84,76.514,64.909,28,51.6,43.7
11,Loughborough     ,17,38.571,57,63.057,34.364,6,32.6,26.8
3,LSE,26,10,42,55.371,14.727,3.1,24.8,12.3
26,Manchester     ,27,27.143,42.667,60.629,25.091,7.7,29.5,32.6
91,Manchester Met,29,82.857,67.333,73.229,50.545,24.8,48.7,40.6
104,Middlesex     ,33,81.429,73.667,59.657,60.182,28.1,52.7,38.8
55,N'ham Trent    ,30,80,60,71.714,51.091,10.9,43.6,26
63,Napier     ,31,88.571,59.667,73.857,53.273,26.7,39.2,22.1
19,Newcastle     ,25,37.143,49.667,57.686,28.364,7.7,28.9,24.7
83,Northampton     ,24,85.714,63.333,77.543,59.091,20,44.8,43.7
72,Northumbria     ,27,84.286,70,71.143,46.909,19.3,50.1,33.6
15,Nottingham     ,25,28.571,46,60.286,26.727,3.8,24.3,24
0,Oxford     ,16,11.429,38.667,17.6,8.727,1.4,9.9,16.1
54,Oxford Brookes    ,24,77.143,60.667,73.029,45.455,15.1,40.9,34.1
61,Plymouth     ,26,77.143,54.667,71.429,49.636,18.8,39.8,44.7
60,Portsmouth     ,25,75.714,64.667,73.8,50.545,18.6,50.7,34.6
68,QM Edinburgh   ,38,78.571,67.333,76.257,48,22.3,41.5,30.2
36,Queen Mary,25,32.857,42.667,66.486,38.182,11.5,39.2,24.9
32,Queen's Belfast    ,23,38.571,51,65.086,33.818,13.4,29.7,23.9
31,Reading     ,22,30,54,71.086,38.182,8.3,28.3,36.7
53,Robert Gordon    ,31,87.143,59.667,69.429,41.636,20.2,41.2,22.4
85,Roehampton     ,29,72.857,70,62.629,59.273,20.5,47.9,43.1
29,Royal Holloway    ,26,25.714,49,64.457,34.364,11.8,33.6,33.1
75,S'field Hallam    ,28,84.286,66.333,73.2,51.091,15,41.9,39.4
82,Salford     ,29,70,61.333,73.629,51.091,26.8,45.9,36.5
21,Sheffield     ,24,35.714,48.333,67.429,26.727,7.6,28.1,26.3
23,SOAS,29,24.286,35,50.114,33.091,15.6,26.6,32
96,Soton Solent    ,29,92.857,68.333,72,58.364,21.8,56.9,44.3
16,Southampton     ,21,22.857,54.333,57.743,29.273,9.3,25.2,28.2
4,St Andrews    ,18,24.286,42,66.8,18.909,5.2,16.1,26.3
66,Staffordshire     ,24,84.286,58.667,71.429,54.364,20.2,47.5,46.2
39,Stirling     ,31,44.286,51.333,72.457,47.636,10.1,32.1,28.2
34,Strathclyde     ,24,48.571,56,65.171,33.273,18.2,25.4,23.6
81,Sunderland     ,27,75.714,53.667,78.943,54.727,23,52.3,40.7
38,Surrey     ,28,32.857,54.333,66.971,38.364,13.2,38.1,22.7
37,Sussex     ,31,27.143,50,67.543,29.636,11.7,20.5,38
47,Swansea     ,23,37.143,50.333,71.143,46.364,11.7,50.1,38.6
87,Teesside     ,23,90,65,78.571,54,25.6,49.8,42.7
111,Thames Valley    ,33,94.286,68.667,78.657,61.455,30.5,51.6,37.3
74,U. Arts,38,37.143,69.333,75.143,44.727,12.9,41.2,48.5
6,UCL,24,21.429,30.333,51.371,21.091,5.7,24.9,18.5
52,Ulster     ,25,65.714,54.667,58.229,49.455,23,39.9,37.9
95,UWCN    ,29,92.857,67,74.571,60.182,25.1,49.3,39.6
84,UWIC Cardiff    ,28,88.571,66.333,68.229,55.273,14.9,51.4,44.7
5,Warwick     ,24,20,45.333,46.257,18.545,3.3,20.6,25.1
64,West England   ,26,77.143,62.667,74.114,52.545,19.4,44.1,35.6
102,West Scotland   ,38,90,64.667,68.6,53.636,31.3,53.9,37.7
101,Westminster     ,32,82.857,54.667,78.2,53.818,19.5,50.4,49
65,Winchester     ,25,78.571,59.667,77.257,51.455,15.5,42.6,50.3
106,Wolverhampton     ,28,91.429,62,73,64.182,26.1,58.9,43.2
80,Worcester     ,24,88.571,65.667,76.743,55.455,19.2,54.4,37.3
8,York     ,23,21.429,43.667,62.486,23.091,4.8,25.3,29.5
90,York St John   ,28,94.286,74.333,75.971,48.909,14.6,49.3,44.8
